"year","name","percent","sex"
2008,"Jacob",0.010355,"boy"
2008,"Michael",0.009437,"boy"
2008,"Ethan",0.009301,"boy"
2008,"Joshua",0.008799,"boy"
2008,"Daniel",0.008702,"boy"
2008,"Alexander",0.008566,"boy"
2008,"Anthony",0.008442,"boy"
2008,"William",0.008438,"boy"
2008,"Christopher",0.008268,"boy"
2008,"Matthew",0.008061,"boy"
2008,"Jayden",0.007877,"boy"
2008,"Andrew",0.007694,"boy"
2008,"Joseph",0.00757,"boy"
2008,"David",0.007467,"boy"
2008,"Noah",0.007262,"boy"
2008,"Aiden",0.007165,"boy"
2008,"James",0.006952,"boy"
2008,"Ryan",0.006754,"boy"
2008,"Logan",0.006372,"boy"
2008,"John",0.006102,"boy"
2008,"Nathan",0.006085,"boy"
2008,"Elijah",0.006042,"boy"
2008,"Christian",0.005985,"boy"
2008,"Gabriel",0.005974,"boy"
2008,"Benjamin",0.00593,"boy"
2008,"Jonathan",0.005905,"boy"
2008,"Tyler",0.005838,"boy"
2008,"Samuel",0.005829,"boy"
2008,"Nicholas",0.005752,"boy"
2008,"Gavin",0.005414,"boy"
2008,"Dylan",0.005379,"boy"
2008,"Jackson",0.005344,"boy"
2008,"Brandon",0.005273,"boy"
2008,"Caleb",0.004848,"boy"
2008,"Mason",0.004821,"boy"
2008,"Angel",0.004755,"boy"
2008,"Isaac",0.004582,"boy"
2008,"Evan",0.004566,"boy"
2008,"Jack",0.004547,"boy"
2008,"Kevin",0.004513,"boy"
2008,"Jose",0.004513,"boy"
2008,"Isaiah",0.004424,"boy"
2008,"Luke",0.004323,"boy"
2008,"Landon",0.004305,"boy"
2008,"Justin",0.0043,"boy"
2008,"Lucas",0.004273,"boy"
2008,"Zachary",0.004222,"boy"
2008,"Jordan",0.00417,"boy"
2008,"Robert",0.004042,"boy"
2008,"Aaron",0.003916,"boy"
2008,"Brayden",0.003876,"boy"
2008,"Thomas",0.003828,"boy"
2008,"Cameron",0.003809,"boy"
2008,"Hunter",0.003698,"boy"
2008,"Austin",0.003674,"boy"
2008,"Adrian",0.00365,"boy"
2008,"Connor",0.003599,"boy"
2008,"Owen",0.003589,"boy"
2008,"Aidan",0.003547,"boy"
2008,"Jason",0.003521,"boy"
2008,"Julian",0.003424,"boy"
2008,"Wyatt",0.003367,"boy"
2008,"Charles",0.003339,"boy"
2008,"Luis",0.003284,"boy"
2008,"Carter",0.003249,"boy"
2008,"Juan",0.003231,"boy"
2008,"Chase",0.00322,"boy"
2008,"Diego",0.003024,"boy"
2008,"Jeremiah",0.003008,"boy"
2008,"Brody",0.002906,"boy"
2008,"Xavier",0.002885,"boy"
2008,"Adam",0.0028,"boy"
2008,"Carlos",0.002789,"boy"
2008,"Sebastian",0.002775,"boy"
2008,"Liam",0.00274,"boy"
2008,"Hayden",0.002729,"boy"
2008,"Nathaniel",0.002679,"boy"
2008,"Henry",0.002649,"boy"
2008,"Jesus",0.002649,"boy"
2008,"Ian",0.002632,"boy"
2008,"Tristan",0.002601,"boy"
2008,"Bryan",0.00254,"boy"
2008,"Sean",0.0025,"boy"
2008,"Cole",0.00248,"boy"
2008,"Alex",0.002479,"boy"
2008,"Eric",0.002474,"boy"
2008,"Brian",0.002413,"boy"
2008,"Jaden",0.002383,"boy"
2008,"Carson",0.002361,"boy"
2008,"Blake",0.002343,"boy"
2008,"Ayden",0.002329,"boy"
2008,"Cooper",0.002321,"boy"
2008,"Dominic",0.002284,"boy"
2008,"Brady",0.002225,"boy"
2008,"Caden",0.002194,"boy"
2008,"Josiah",0.002175,"boy"
2008,"Kyle",0.002163,"boy"
2008,"Colton",0.002092,"boy"
2008,"Kaden",0.002069,"boy"
2008,"Eli",0.002067,"boy"
2008,"Miguel",0.002039,"boy"
2008,"Antonio",0.00201,"boy"
2008,"Parker",0.001986,"boy"
2008,"Steven",0.001941,"boy"
2008,"Alejandro",0.001916,"boy"
2008,"Riley",0.001895,"boy"
2008,"Richard",0.001869,"boy"
